Name,Team,Fixture,eAssists/90,Anytime%,,
Aït-Nouri,WOL,(A): LEE,0.10,9%,,
Iwobi,EVE,(H): CHE,0.10,9%,,
Fabinho,LIV,(A): FUL,0.10,9%,,
Van de Beek,MUN,(H): BHA,0.10,9%,,
Dias,MCI,(A): WHU,0.10,9%,,
Cundle,WOL,(A): LEE,0.10,9%,,
Cash,AVL,(A): BOU,0.09,9%,,
Ramsey,AVL,(A): BOU,0.09,9%,,
Neves,WOL,(A): LEE,0.09,9%,,
S.Armstrong,SOU,(A): TOT,0.09,9%,,
Milivojevic,CRY,(H): ARS,0.09,9%,,
Mitrović,FUL,(H): LIV,0.09,9%,,
Thomas,LEI,(H): BRE,0.09,9%,,
Rúben Vinagre,EVE,(H): CHE,0.09,9%,,
Roca,LEE,(H): WOL,0.09,9%,,
Ndidi,LEI,(H): BRE,0.09,9%,,
Aribo,SOU,(A): TOT,0.09,9%,,
Nørgaard,BRE,(A): LEI,0.09,8%,,
Lamptey,BHA,(A): MUN,0.09,8%,,
Schlupp,CRY,(H): ARS,0.09,8%,,
A.Doucouré,EVE,(H): CHE,0.09,8%,,
Wan-Bissaka,MUN,(H): BHA,0.09,8%,,
Jonny,WOL,(A): LEE,0.09,8%,,
Toffolo,NFO,(A): NEW,0.09,8%,,
Partey,ARS,(A): CRY,0.09,8%,,
Sambi,ARS,(A): CRY,0.09,8%,,
Lallana,BHA,(A): MUN,0.09,8%,,
N.Williams,NFO,(A): NEW,0.09,8%,,
Cresswell,WHU,(H): MCI,0.09,8%,,
Patterson,EVE,(H): CHE,0.09,8%,,
Cairney,FUL,(H): LIV,0.08,8%,,
Justin,LEI,(H): BRE,0.08,8%,,
Onyeka,BRE,(A): LEI,0.08,8%,,
Mendy,LEI,(H): BRE,0.08,8%,,
Hughes,CRY,(H): ARS,0.08,8%,,
Mykolenko,EVE,(H): CHE,0.08,8%,,
McTominay,MUN,(H): BHA,0.08,8%,,
Caicedo,BHA,(A): MUN,0.08,8%,,
Allan,EVE,(H): CHE,0.08,8%,,
Davies,EVE,(H): CHE,0.08,8%,,
Dalot,MUN,(H): BHA,0.08,8%,,
O'Brien,NFO,(A): NEW,0.08,8%,,
Tomiyasu,ARS,(A): CRY,0.08,8%,,
Biancone,NFO,(A): NEW,0.08,8%,,
Janelt,BRE,(A): LEI,0.08,7%,,
Roerslev,BRE,(A): LEI,0.08,7%,,
Coufal,WHU,(H): MCI,0.08,7%,,
Clyne,CRY,(H): ARS,0.07,7%,,
Smith,BOU,(H): AVL,0.07,7%,,
