Name,Team,Fixture,eAssists/90,Anytime%,,
Jiménez,WOL,(H): SOU,0.18,16%,,
Jesus,ARS,(A): MUN,0.18,16%,,
James,LEE,(A): BRE,0.18,16%,,
R.Sessegnon,TOT,(H): FUL,0.18,16%,,
Praet,LEI,(A): BHA,0.18,16%,,
Fábio Vieira,ARS,(A): MUN,0.17,16%,,
Surridge,NFO,(H): BOU,0.17,16%,,
Bissouma,TOT,(H): FUL,0.17,16%,,
Smith Rowe,ARS,(A): MUN,0.17,16%,,
Albrighton,LEI,(A): BHA,0.17,16%,,
Pérez,LEI,(A): BHA,0.17,16%,,
Milner,LIV,(A): EVE,0.17,16%,,
Elanga,MUN,(H): ARS,0.17,16%,,
Wissa,BRE,(H): LEE,0.17,16%,,
Ebiowei,CRY,(A): NEW,0.17,16%,,
Rashford,MUN,(H): ARS,0.17,16%,,
Ødegaard,ARS,(A): MUN,0.17,16%,,
Trossard,BHA,(H): LEI,0.17,16%,,
Martinelli,ARS,(A): MUN,0.17,16%,,
Henderson,LIV,(A): EVE,0.17,16%,,
Bowen,WHU,(A): CHE,0.17,16%,,
Wilson,NEW,(H): CRY,0.17,15%,,
Aaronson,LEE,(A): BRE,0.17,15%,,
Rodrigo,LEE,(A): BRE,0.17,15%,,
Iheanacho,LEI,(A): BHA,0.17,15%,,
Gelhardt,LEE,(A): BRE,0.16,15%,,
Vardy,LEI,(A): BHA,0.16,15%,,
Solanke,BOU,(A): NFO,0.16,15%,,
Edouard,CRY,(A): NEW,0.16,15%,,
Cafú,NFO,(H): BOU,0.16,15%,,
Bamford,LEE,(A): BRE,0.16,15%,,
Awoniyi,NFO,(H): BOU,0.16,15%,,
Thiago,LIV,(A): EVE,0.16,15%,,
Jones,LIV,(A): EVE,0.16,15%,,
Wood,NEW,(H): CRY,0.16,15%,,
Nketiah,ARS,(A): MUN,0.16,14%,,
Kanté,CHE,(H): WHU,0.16,14%,,
Ward-Prowse,SOU,(A): WOL,0.16,14%,,
Keita,LIV,(A): EVE,0.15,14%,,
Taylor,NFO,(H): BOU,0.15,14%,,
Adams,SOU,(A): WOL,0.15,14%,,
Martial,MUN,(H): ARS,0.15,14%,,
Daka,LEI,(A): BHA,0.15,14%,,
Bruno Guimarães,NEW,(H): CRY,0.15,14%,,
Cundle,WOL,(H): SOU,0.15,14%,,
Moutinho,WOL,(H): SOU,0.15,14%,,
Jensen,BRE,(H): LEE,0.15,14%,,
Dembélé,BOU,(A): NFO,0.15,14%,,
Coutinho,AVL,(H): MCI,0.15,14%,,
Billing,BOU,(A): NFO,0.15,14%,,
N.Williams,NFO,(H): BOU,0.15,14%,,
Benrahma,WHU,(A): CHE,0.15,14%,,
Kovacic,CHE,(H): WHU,0.15,14%,,
Ayew,CRY,(A): NEW,0.15,14%,,
Elyounoussi,SOU,(A): WOL,0.15,14%,,
A.Armstrong,SOU,(A): WOL,0.15,14%,,
Aribo,SOU,(A): WOL,0.15,14%,,
Ghoddos,BRE,(H): LEE,0.14,13%,,
Gallagher,CHE,(H): WHU,0.14,13%,,
Phillips,MCI,(A): AVL,0.14,13%,,
Bailey,AVL,(H): MCI,0.14,13%,,
Mitoma,BHA,(H): LEI,0.14,13%,,
Moore,BOU,(A): NFO,0.14,13%,,
Zinchenko,ARS,(A): MUN,0.14,13%,,
Skipp,TOT,(H): FUL,0.14,13%,,
Zaha,CRY,(A): NEW,0.14,13%,,
Cancelo,MCI,(A): AVL,0.14,13%,,
Ronaldo,MUN,(H): ARS,0.14,13%,,
Andreas,FUL,(A): TOT,0.14,13%,,
Lowe,BOU,(A): NFO,0.13,13%,,
Antonio,WHU,(A): CHE,0.13,13%,,
March,BHA,(H): LEI,0.13,12%,,
Lallana,BHA,(H): LEI,0.13,12%,,
Loftus-Cheek,CHE,(H): WHU,0.13,12%,,
Vlasic,WHU,(A): CHE,0.13,12%,,
Dasilva,BRE,(H): LEE,0.13,12%,,
Cavaleiro,FUL,(A): TOT,0.13,12%,,
Trippier,NEW,(H): CRY,0.13,12%,,
Mateta,CRY,(A): NEW,0.13,12%,,
Gündogan,MCI,(A): AVL,0.13,12%,,
Redmond,SOU,(A): WOL,0.13,12%,,
Ings,AVL,(H): MCI,0.13,12%,,
Toffolo,NFO,(H): BOU,0.13,12%,,
Lamptey,BHA,(H): LEI,0.12,12%,,
Alzate,BHA,(H): LEI,0.12,12%,,
Jorginho,CHE,(H): WHU,0.12,12%,,
Dewsbury-Hall,LEI,(A): BHA,0.12,12%,,
Tella,SOU,(A): WOL,0.12,12%,,
Fornals,WHU,(A): CHE,0.12,12%,,
Neves,WOL,(H): SOU,0.12,12%,,
Knockaert,FUL,(A): TOT,0.12,11%,,
S.Armstrong,SOU,(A): WOL,0.12,11%,,
Højbjerg,TOT,(H): FUL,0.12,11%,,
Ajer,BRE,(H): LEE,0.12,11%,,
Gray,EVE,(H): LIV,0.12,11%,,
Joelinton,NEW,(H): CRY,0.12,11%,,
Shelvey,NEW,(H): CRY,0.12,11%,,
Aït-Nouri,WOL,(H): SOU,0.12,11%,,
Bruno Jordão,WOL,(H): SOU,0.12,11%,,
S.Longstaff,NEW,(H): CRY,0.12,11%,,
Djenepo,SOU,(A): WOL,0.12,11%,,
Scamacca,WHU,(A): CHE,0.12,11%,,
Gordon,EVE,(H): LIV,0.12,11%,,
Buendía,AVL,(H): MCI,0.12,11%,,
Caicedo,BHA,(H): LEI,0.12,11%,,
Tielemans,LEI,(A): BHA,0.12,11%,,
McNeil,EVE,(H): LIV,0.12,11%,,
Cornet,WHU,(A): CHE,0.12,11%,,
Janelt,BRE,(H): LEE,0.11,11%,,
Fabinho,LIV,(A): EVE,0.11,11%,,
Tavernier,BOU,(A): NFO,0.11,11%,,
Archer,AVL,(H): MCI,0.11,11%,,
Onomah,FUL,(A): TOT,0.11,11%,,
Shaw,MUN,(H): ARS,0.11,11%,,
Nørgaard,BRE,(H): LEE,0.11,10%,,
O'Brien,NFO,(H): BOU,0.11,10%,,
Kebano,FUL,(A): TOT,0.11,10%,,
Baptiste,BRE,(H): LEE,0.11,10%,,
De Cordova-Reid,FUL,(A): TOT,0.11,10%,,
Dendoncker,WOL,(H): SOU,0.11,10%,,
Mac Allister,BHA,(H): LEI,0.11,10%,,
Fred,MUN,(H): ARS,0.11,10%,,
Roerslev,BRE,(H): LEE,0.11,10%,,
Walker,MCI,(A): AVL,0.10,10%,,
Tierney,ARS,(A): MUN,0.10,10%,,
