Name,Team,Fixture,eGoals/90,Anytime%
Schlupp,CRY,(A): MCI,0.04,4%
Zanka,BRE,(H): EVE,0.04,4%
Sánchez,TOT,(A): NFO,0.04,4%
Dawson,WHU,(A): AVL,0.04,4%
Keane,EVE,(A): BRE,0.04,4%
Tarkowski,EVE,(A): BRE,0.04,4%
Saliba,ARS,(H): FUL,0.04,4%
Holgate,EVE,(A): BRE,0.04,4%
Martínez,MUN,(A): SOU,0.04,4%
Webster,BHA,(H): LEE,0.04,3%
Botman,NEW,(A): WOL,0.03,3%
Dunk,BHA,(H): LEE,0.03,3%
Thiago Silva,CHE,(H): LEI,0.03,3%
Stephens,SOU,(H): MUN,0.03,3%
Varane,MUN,(A): SOU,0.03,3%
Collins,WOL,(H): NEW,0.03,3%
Pickford,EVE,(A): BRE,0.03,3%
Andersen,CRY,(A): MCI,0.03,3%
Maguire,MUN,(A): SOU,0.03,3%
McKenna,NFO,(H): TOT,0.03,3%
Bednarek,SOU,(H): MUN,0.03,3%
Bella-Kotchap,SOU,(H): MUN,0.03,3%
Ward,CRY,(A): MCI,0.03,3%
Diop,FUL,(A): ARS,0.03,3%
Jansson,BRE,(H): EVE,0.03,3%
Dier,TOT,(A): NFO,0.03,3%
Boly,WOL,(H): NEW,0.03,3%
Konsa,AVL,(H): WHU,0.03,2%
Cooper,LEE,(A): BHA,0.02,2%
Kilman,WOL,(H): NEW,0.02,2%
Kelly,BOU,(A): LIV,0.02,2%
Kehrer,WHU,(A): AVL,0.02,2%
Llorente,LEE,(A): BHA,0.02,2%
Salisu,SOU,(H): MUN,0.02,2%
Duffy,FUL,(A): ARS,0.02,2%
Guéhi,CRY,(A): MCI,0.02,2%
Evans,LEI,(A): CHE,0.02,2%
Zouma,WHU,(A): AVL,0.02,2%
Coady,EVE,(A): BRE,0.02,2%
Koch,LEE,(A): BHA,0.02,2%
Tosin,FUL,(A): ARS,0.02,2%
Söyüncü,LEI,(A): CHE,0.02,2%
Worrall,NFO,(H): TOT,0.02,2%
Ream,FUL,(A): ARS,0.02,2%
Amartey,LEI,(A): CHE,0.02,2%
Alisson,LIV,(H): BOU,0.02,2%
Cook,NFO,(H): TOT,0.02,2%
Senesi,BOU,(A): LIV,0.02,2%
Hill,BOU,(A): LIV,0.01,1%
Mepham,BOU,(A): LIV,0.01,1%
Sá,WOL,(H): NEW,0.01,1%
Sánchez,BHA,(H): LEE,0.00,0%
Ramsdale,ARS,(H): FUL,0.00,0%
Raya,BRE,(H): EVE,0.00,0%
Ederson,MCI,(H): CRY,0.00,0%
Pope,NEW,(A): WOL,0.00,0%
Bazunu,SOU,(H): MUN,0.00,0%
