name,team,position,cost
Castagne,LEI,DEF,4.5
Tielemans,LEI,MID,6.5
Pérez,LEI,MID,5.0
Maddison,LEI,MID,8.0
Iheanacho,LEI,FWD,6.5
Choudhury,LEI,MID,4.5
Barnes,LEI,MID,7.0
Ndidi,LEI,MID,5.0
Dewsbury-Hall,LEI,MID,5.0
Söyüncü,LEI,DEF,4.5
Justin,LEI,DEF,4.5
Soumaré,LEI,MID,4.5
Thomas,LEI,DEF,4.5
Daka,LEI,FWD,6.0
Fofana,LEI,DEF,4.5
Brunt,LEI,DEF,4.0
Iversen,LEI,GKP,4.0
Praet,LEI,MID,5.0
Cooper,LEE,DEF,4.5
Ayling,LEE,DEF,4.5
Klich,LEE,MID,5.0
Forshaw,LEE,MID,4.5
Rodrigo,LEE,MID,6.0
Dallas,LEE,DEF,5.0
Bamford,LEE,FWD,7.5
Llorente,LEE,DEF,4.5
Roberts,LEE,MID,5.0
Koch,LEE,DEF,4.5
James,LEE,MID,6.0
Raphinha,LEE,MID,7.0
Harrison,LEE,MID,6.0
Shackleton,LEE,MID,4.5
Struijk,LEE,DEF,4.5
Klaesson,LEE,GKP,4.0
Greenwood,LEE,FWD,4.5
Meslier,LEE,GKP,4.5
Firpo,LEE,DEF,4.5
Summerville,LEE,MID,4.5
Bate,LEE,MID,4.5
Gelhardt,LEE,FWD,5.5
Hjelde,LEE,DEF,4.0
Kristensen,LEE,DEF,5.0
Roca,LEE,MID,5.0
Aaronson,LEE,MID,5.5
Gyabi,LEE,MID,4.5
Adams,LEE,MID,5.0
Sinisterra,LEE,MID,6.5
Drameh,LEE,DEF,4.0
Milner,LIV,MID,4.5
Henderson,LIV,MID,5.5
Matip,LIV,DEF,6.0
Thiago,LIV,MID,5.5
Chamberlain,LIV,MID,5.0
Firmino,LIV,FWD,8.0
Van Dijk,LIV,DEF,6.5
Alisson,LIV,GKP,5.5
Fabinho,LIV,MID,5.5
Salah,LIV,MID,13.0
Robertson,LIV,DEF,7.0
Alexander-Arnold,LIV,DEF,7.5
Gomez,LIV,DEF,4.5
Keita,LIV,MID,5.0
Diogo Jota,LIV,FWD,9.0
Kelleher,LIV,GKP,4.0
Konaté,LIV,DEF,5.0
Jones,LIV,MID,5.0
Tsimikas,LIV,DEF,4.5
Luis Díaz,LIV,MID,8.0
Elliott,LIV,MID,5.0
Carvalho,LIV,MID,5.5
Darwin,LIV,FWD,9.0
Ramsay,LIV,DEF,4.0
Adrián,LIV,GKP,4.0
R.Williams,LIV,DEF,4.0
Davies,LIV,DEF,4.0
Van den Berg,LIV,DEF,4.0
Phillips,LIV,DEF,4.0
Walker,MCI,DEF,5.0
Gündogan,MCI,MID,7.5
De Bruyne,MCI,MID,12.0
Stones,MCI,DEF,5.5
Mahrez,MCI,MID,8.0
Grealish,MCI,MID,7.0
Cancelo,MCI,DEF,7.0
Ederson,MCI,GKP,5.5
Aké,MCI,DEF,5.0
Laporte,MCI,DEF,6.0
Steffen,MCI,GKP,4.0
Bernardo,MCI,MID,7.0
Dias,MCI,DEF,6.0
Foden,MCI,MID,8.0
Rodri,MCI,MID,6.0
Palmer,MCI,MID,4.5
McAtee,MCI,MID,4.5
Haaland,MCI,FWD,11.5
Álvarez,MCI,FWD,6.5
Mbete,MCI,DEF,4.0
Wilson-Esbrand,MCI,DEF,4.0
Delap,MCI,FWD,4.5
Ortega,MCI,GKP,4.0
Phillips,MCI,MID,5.0
Carson,MCI,GKP,4.0
Ronaldo,MUN,FWD,10.5
De Gea,MUN,GKP,5.0
Jones,MUN,DEF,4.0
Varane,MUN,DEF,5.0
Maguire,MUN,DEF,5.0
Fred,MUN,MID,5.5
Shaw,MUN,DEF,5.0
Fernandes,MUN,MID,10.0
